Density,Diversity,Condition,Vacancies,Sidewalk Damage,Neighborhood
5.0,0.0,6.0,0.0,3.0,Alamo Square
4.0,3.0,6.0,0.0,2.0,Anza Vista
1.0,3.0,1.0,0.0,4.0,Aquatic Park / Ft. Mason
6.0,0.0,4.0,1.0,4.0,Ashbury Heights
3.0,3.0,4.0,2.0,3.0,Balboa Terrace
1.0,3.0,7.0,0.0,3.0,Bayview
5.0,0.0,2.0,1.0,4.0,Bernal Heights
1.0,3.0,8.0,0.0,2.0,Bret Harte
4.0,0.0,4.0,1.0,4.0,Buena Vista
7.0,0.0,1.0,0.0,4.0,Castro
2.0,7.0,7.0,0.0,3.0,Cathedral Hill
3.0,0.0,3.0,3.0,3.0,Cayuga
1.0,3.0,8.0,3.0,1.0,Central Waterfront
1.0,7.0,6.0,0.0,1.0,Chinatown
1.0,3.0,5.0,0.0,1.0,Civic Center
0.0,0.0,1.0,1.0,0.0,Clarendon Heights
6.0,0.0,5.0,0.0,5.0,Cole Valley
4.0,0.0,2.0,1.0,6.0,Corona Heights
0.0,7.0,8.0,0.0,3.0,Cow Hollow
1.0,0.0,3.0,4.0,7.0,Crocker Amazon
2.0,0.0,0.0,3.0,1.0,Diamond Heights
4.0,3.0,7.0,2.0,1.0,Dogpatch
6.0,0.0,2.0,1.0,4.0,Dolores Heights
0.0,3.0,5.0,0.0,0.0,Downtown / Union Square
7.0,0.0,1.0,1.0,4.0,Duboce Triangle
6.0,0.0,0.0,0.0,5.0,Eureka Valley
3.0,0.0,4.0,2.0,7.0,Excelsior
5.0,0.0,3.0,1.0,5.0,Fairmount
0.0,7.0,7.0,0.0,2.0,Financial District
0.0,7.0,3.0,0.0,5.0,Fishermans Wharf
6.0,0.0,2.0,1.0,1.0,Forest Hill
0.0,7.0,4.0,0.0,4.0,Forest Knolls
4.0,0.0,1.0,1.0,4.0,Glen Park
3.0,0.0,5.0,3.0,3.0,Golden Gate Heights
6.0,0.0,6.0,0.0,3.0,Haight Ashbury
10.0,0.0,7.0,0.0,2.0,Hayes Valley
5.0,0.0,2.0,1.0,6.0,Holly Park
0.0,3.0,8.0,0.0,3.0,Hunters Point
0.0,7.0,7.0,0.0,0.0,Ingleside
0.0,7.0,6.0,0.0,1.0,Ingleside Terraces
6.0,3.0,6.0,8.0,1.0,Inner Richmond
4.0,0.0,5.0,1.0,4.0,Inner Sunset
6.0,0.0,7.0,0.0,2.0,Japantown
2.0,0.0,3.0,2.0,1.0,Laguna Honda
6.0,0.0,6.0,4.0,1.0,Lake Street
0.0,7.0,5.0,0.0,0.0,Lakeshore
4.0,0.0,7.0,3.0,1.0,Laurel Heights / Jordan Park
3.0,3.0,5.0,5.0,10.0,Little Hollywood
5.0,0.0,6.0,1.0,2.0,Lone Mountain
8.0,0.0,6.0,0.0,3.0,Lower Haight
2.0,0.0,3.0,0.0,5.0,Lower Nob Hill
6.0,0.0,6.0,0.0,2.0,Lower Pacific Heights
0.0,7.0,7.0,0.0,5.0,Marina
0.0,10.0,5.0,0.0,3.0,Merced Heights
0.0,3.0,8.0,0.0,0.0,Merced Manor
0.0,7.0,2.0,1.0,1.0,Midtown Terrace
5.0,0.0,6.0,1.0,3.0,Mint Hill
3.0,3.0,1.0,6.0,1.0,Miraloma Park
5.0,0.0,3.0,1.0,4.0,Mission
0.0,0.0,10.0,3.0,0.0,Mission Bay
5.0,0.0,5.0,1.0,2.0,Mission Dolores
3.0,0.0,3.0,1.0,4.0,Mission Terrace
2.0,3.0,1.0,10.0,2.0,Monterey Heights
3.0,0.0,3.0,1.0,4.0,Mt. Davidson Manor
4.0,0.0,2.0,0.0,6.0,Nob Hill
6.0,0.0,2.0,1.0,4.0,Noe Valley
3.0,3.0,6.0,0.0,4.0,
0.0,3.0,4.0,0.0,3.0,North Beach
1.0,0.0,3.0,4.0,3.0,Oceanview
5.0,3.0,6.0,9.0,1.0,Outer Mission
5.0,0.0,6.0,0.0,1.0,Outer Richmond
3.0,3.0,2.0,1.0,9.0,Outer Sunset
4.0,0.0,6.0,0.0,3.0,Pacific Heights
5.0,0.0,6.0,0.0,1.0,Panhandle
2.0,3.0,5.0,1.0,4.0,Parkside
4.0,0.0,4.0,1.0,3.0,Parnassus Heights
4.0,0.0,3.0,0.0,5.0,Peralta Heights
2.0,0.0,3.0,1.0,5.0,Polk Gulch
5.0,0.0,7.0,2.0,1.0,Portola
9.0,0.0,4.0,1.0,3.0,Potrero Hill
0.0,7.0,3.0,2.0,0.0,Presidio Heights
5.0,0.0,6.0,3.0,1.0,Presidio National Park
0.0,3.0,10.0,0.0,0.0,Presidio Terrace
2.0,0.0,2.0,0.0,5.0,Rincon Hill
1.0,0.0,7.0,3.0,2.0,Russian Hill
1.0,0.0,0.0,4.0,3.0,Seacliff
1.0,3.0,5.0,1.0,2.0,Sherwood Forest
0.0,7.0,7.0,0.0,0.0,Showplace Square
1.0,3.0,7.0,1.0,2.0,Silver Terrace
7.0,0.0,4.0,1.0,0.0,South of Market
3.0,0.0,3.0,3.0,5.0,St. Francis Wood
5.0,0.0,2.0,2.0,3.0,St. Marys Park
4.0,3.0,7.0,10.0,1.0,Sunnyside
1.0,3.0,5.0,0.0,4.0,Sutro Heights
1.0,3.0,6.0,0.0,1.0,Telegraph Hill
1.0,3.0,5.0,0.0,4.0,Tenderloin
2.0,0.0,2.0,0.0,5.0,Union Street
3.0,0.0,0.0,2.0,3.0,University Mound
0.0,3.0,7.0,1.0,5.0,Upper Market
4.0,0.0,4.0,3.0,2.0,Visitacion Valley
6.0,0.0,6.0,0.0,2.0,West Portal
2.0,7.0,2.0,8.0,1.0,Western Addition
3.0,3.0,4.0,1.0,3.0,Westwood Highlands
